학교명,2018,2019,2020
신한대학교 _제2캠퍼스,99.1,99.7,100.0
아세아연합신학대학교,90.4,80.9,81.7
아주대학교,99.7,99.2,99.7
안동대학교,99.7,99.1,99.9
안양대학교,99.7,98.5,99.1
안양대학교 _제2캠퍼스,99.2,100.0,100.0
연세대학교,99.5,99.6,99.8
연세대학교(미래) _분교,99.7,99.0,99.6
영남대학교,99.8,99.6,99.7
영남신학대학교,100.0,100.0,100.0
영산대학교,99.9,99.3,99.5
영산대학교 _제2캠퍼스,100.0,99.8,100.0
영산선학대학교,14.0,10.0,12.0
예수대학교,99.3,99.2,100.0
예원예술대학교,97.6,98.1,98.1
예원예술대학교 _제2캠퍼스,96.0,100.0,98.0
용인대학교,99.2,99.4,99.6
우석대학교,98.3,99.4,99.1
우송대학교,99.9,99.6,100.0
울산과학기술원,98.9,101.7,99.2
울산대학교,99.6,99.6,99.5
원광대학교,99.4,99.4,99.5
원광디지털대학교,86.0,86.3,86.5
위덕대학교,96.2,94.5,98.7
유원대학교,99.6,98.3,95.2
을지대학교,99.3,100.7,100.0
을지대학교 _제2캠퍼스,100.0,99.8,100.0
이화여자대학교,99.9,99.7,99.8
인제대학교,99.8,100.0,99.0
인제대학교 _제2캠퍼스,101.3,100.0,
인천가톨릭대학교,65.2,93.8,93.8
인천가톨릭대학교 _제2캠퍼스,100.0,100.0,100.0
인천대학교,99.8,99.7,99.9
인하대학교,99.9,99.8,99.9
장로회신학대학교,100.0,100.0,100.0
전남대학교,99.9,99.9,100.0
전남대학교 _제2캠퍼스,99.2,99.5,99.7
전북대학교,99.3,99.6,99.7
전주교육대학교,99.7,99.0,98.6
전주대학교,99.7,99.6,100.0
정석대학,42.0,29.0,31.0
제주국제대학교,62.6,41.6,44.3
제주대학교,99.7,99.6,99.8
조선대학교,99.6,99.5,99.6
중부대학교,100.0,100.0,99.5
중앙대학교,99.8,99.5,99.0
중앙대학교 _제2캠퍼스,99.4,99.3,99.1
중앙승가대학교,26.7,29.5,27.0
중원대학교,97.5,98.9,97.2
진주교육대학교,100.0,100.0,
차의과학대학교,100.0,99.8,100.0
창신대학교,100.0,100.0,100.0
창원대학교,99.4,99.5,99.5
청운대학교,97.0,99.5,94.8
청주교육대학교,100.0,99.3,99.7
청주대학교,98.9,99.2,99.8
초당대학교,100.0,99.6,100.0
총신대학교,99.4,100.0,100.0
추계예술대학교,99.6,99.3,98.5
춘천교육대학교,100.0,100.0,100.0
충남대학교,99.9,99.7,99.8
충북대학교,99.9,99.6,99.9
침례신학대학교,86.9,83.9,78.8
칼빈대학교,91.4,95.8,100.0
케이씨대학교,98.2,99.6,100.0
평택대학교,99.5,99.2,99.5
포항공과대학교,99.7,96.3,100.0
한경대학교,99.4,99.2,99.2
한국과학기술원,105.4,98.7,99.4
한국교원대학교,99.5,99.5,100.0
한국교통대학교,99.3,99.8,99.7
한국국제대학교,81.0,42.6,32.5
한국기술교육대학교,100.0,100.0,100.0
한국방송통신대학교,27.9,26.0,24.0
한국산업기술대학교,99.9,99.4,99.9
한국성서대학교,100.0,100.9,99.6
한국열린사이버대학교,86.5,99.9,100.0
한국외국어대학교,99.2,98.6,99.6
한국전통문화대학교,100.0,100.0,100.0
한국체육대학교,99.6,100.0,99.6
한국항공대학교,99.8,99.6,98.8
한국해양대학교,100.0,100.0,99.9
한남대학교,99.9,100.0,100.0
한동대학교,99.9,100.0,100.0
한라대학교,99.6,99.1,99.0
한려대학교,27.6,23.1,37.6
한림대학교,99.7,99.8,99.9
한밭대학교,99.8,99.6,99.8
한서대학교,99.7,99.9,100.1
한성대학교,99.7,99.7,99.5
한세대학교,99.8,99.6,99.6
한신대학교,99.8,99.8,100.0
한양대학교,99.7,99.3,99.5
한양대학교(ERICA) _분교,99.5,99.0,99.8
한양사이버대학교,86.4,88.6,83.4
한일장신대학교,96.8,99.1,100.0
협성대학교,99.6,99.7,99.8
호남대학교,99.9,99.7,99.7
호남신학대학교,96.1,100.0,100.0
호서대학교,99.7,99.8,99.9
호원대학교,99.5,99.1,99.5
홍익대학교,99.0,99.8,100.0
홍익대학교 _제2캠퍼스,98.2,99.4,99.7
화신사이버대학교,95.6,82.6,100.0
