,연도,분류,학제,학교명,학교상태,본분교,시도,시군구,설립,주야구분,주소,학과수_전체,지원자_전체_계,입학자_전체_계,재적생_전체_계,재학생_전체_계,유예생_전체_계,휴학생_전체_계,외국인유학생_학사_계,전임교원_계,비전임교원_계,시간강사_계,직원_계,경도,위도,입학정원,모집인원_정원내,지원자_정원내,입학자_정원내,신입생_충원율
20,2020,university,대학교,창원대학교,기존,본교,경남,경남 창원시,국립,주야간,"경상남도 창원시 의창구 창원대학로 20 (사림동, 창원대학교)",52,10774,1940,11219,7915,54,3250,107,340,558,0,320,128.6987327,35.24115922,1754.0,1763.0,10125.0,1755.0,99.5
21,2020,university,대학교,충남대학교,기존,본교,대전,대전 유성구,국립,주간,"대전광역시 유성구 대학로 99 (궁동, 충남대학교)",128,30639,3707,23166,17670,109,5387,526,922,1297,0,790,127.3404341,36.36595163,3425.0,3430.0,28641.0,3422.0,99.8
22,2020,university,대학교,충북대학교,기존,본교,충북,충북 청주시,국립,주간,"충청북도 청주시 서원구 충대로 1 (개신동, 충북대학교)",111,28376,3035,18490,13277,126,5087,573,730,1049,0,535,127.45327150000001,36.63275656,2738.0,2742.0,26828.0,2738.0,99.9
23,2020,university,대학교,한국교원대학교,기존,본교,충북,충북 청주시,국립,주간,"충청북도 청주시 흥덕구 강내면 태성탑연로 250 (다락리, 한국교원대학교)",24,2700,590,2692,2418,9,265,3,196,419,0,317,127.35922790000001,36.61401701,546.0,549.0,2519.0,549.0,100.0
24,2020,university,대학교,한국체육대학교,기존,본교,서울,서울 송파구,국립,주간,"서울특별시 송파구 양재대로 1239 (방이동, 한국체육대학교)",10,2025,585,3191,2512,47,632,8,111,177,0,148,127.13137490000001,37.52067604,545.0,547.0,1915.0,545.0,99.6
25,2020,university,대학교,한국해양대학교,기존,본교,부산,부산 영도구,국립,주간,"부산광역시 영도구 태종로 727 (동삼동, 한국해양대학교)",44,8443,1571,8331,6422,104,1805,30,255,372,0,290,129.0868543,35.07608393,1440.0,1440.0,8149.0,1439.0,99.9
26,2020,university,대학교,한국교통대학교,기존,본교,충북,충북 충주시,국립,주야간,"충청북도 충주시 대소원면 대학로 50 (검단리, 한국교통대학교)",86,11810,2114,12019,8254,36,3729,59,321,303,0,319,127.87360579999999,36.97339224,1911.0,1920.0,10994.0,1914.0,99.7
27,2020,university,대학교,경남과학기술대학교,기존,본교,경남,경남 진주시,국립,주야간,"경상남도 진주시 동진로 33 (칠암동, 경남과학기술대학교)",47,6968,1188,6937,5032,51,1854,0,191,358,0,147,128.0945547,35.18241107,1125.0,1129.0,6571.0,1129.0,100.0
28,2020,university,대학교,서울과학기술대학교,기존,본교,서울,서울 노원구,국립,주야간,"서울특별시 노원구 공릉로 232 (공릉동, 서울과학기술대학교)",46,26336,2373,14498,10587,223,3688,470,347,401,0,419,127.08092309999999,37.63380173,2067.0,2075.0,25358.0,2075.0,100.0
29,2020,university,대학교,한경대학교,기존,본교,경기,경기 안성시,국립,주야간,경기도 안성시 중앙로 327 (석정동),52,7245,1224,7423,5208,30,2185,38,201,302,0,153,127.2630453,37.01085706,1143.0,1143.0,6912.0,1134.0,99.2
30,2020,university,대학교,한밭대학교,기존,본교,대전,대전 유성구,국립,주야간,"대전광역시 유성구 동서대로 125 (덕명동, 한밭대학교)",66,12754,2070,12204,8789,61,3354,110,270,530,0,256,127.3017638,36.35235262,1846.0,1849.0,11866.0,1845.0,99.8
31,2020,university,대학교,서울시립대학교,기존,본교,서울,서울 동대문구,공립,주간,"서울특별시 동대문구 서울시립대로 163 (전농동, 서울시립대학교)",51,24100,1822,12492,9028,0,3464,252,378,616,0,262,127.06086440000001,37.58301804,1697.0,1710.0,22664.0,1701.0,99.5
32,2020,university,대학교,인천대학교,기존,본교,인천,인천 연수구,국립대법인,주야간,"인천광역시 연수구 아카데미로 119 (송도동, 인천대학교)",97,17804,2740,16504,11776,124,4604,321,484,649,0,495,126.63290149999999,37.37654098,2492.0,2497.0,16730.0,2495.0,99.9
33,2020,university,대학교,가야대학교,기존,본교,경남,경남 김해시,사립,주야간,경상남도 김해시 삼계로 208 (삼계동),13,3253,496,2919,2176,3,740,53,96,106,0,70,128.8714961,35.26791382,568.0,573.0,3110.0,469.0,81.8
34,2020,university,대학교,가야대학교 _제2캠퍼스,기존,제2캠퍼스,경북,경북 고령군,사립,주야간,"경상북도 고령군 대가야읍 대가야로 1103 (지산리, 가야대학교)",0,0,0,0,0,0,0,0,0,0,0,6,128.2510408,35.71674519,,,,,
35,2020,university,대학교,가톨릭대학교,기존,본교,경기,경기 부천시,사립,주간,"경기도 부천시 원미구 지봉로 43 (역곡동, 가톨릭대학교성심교정)",57,17535,1599,9611,7163,0,2448,321,237,462,0,234,126.7990933,37.48687621,1472.0,1473.0,16673.0,1471.0,99.9
36,2020,university,대학교,가톨릭대학교 _제2캠퍼스,기존,제2캠퍼스,서울,서울 서초구,사립,주간,"서울특별시 서초구 반포대로 222 (반포동, 가톨릭대학교 성모병원)",3,5620,180,960,923,0,37,2,896,829,0,155,127.00518159999999,37.49923118,173.0,173.0,5211.0,173.0,100.0
37,2020,university,대학교,가톨릭대학교 _제3캠퍼스,기존,제3캠퍼스,서울,서울 종로구,사립,주간,"서울특별시 종로구 창경궁로 296-12 (혜화동, 가톨릭대학교성신교정)",1,70,53,307,231,0,76,9,16,16,0,88,127.0046655,37.58562356,50.0,50.0,65.0,50.0,100.0
38,2020,university,대학교,감리교신학대학교,기존,본교,서울,서울 서대문구,사립,주간,"서울특별시 서대문구 독립문로 56 (냉천동, 감리교신학대학)",4,345,198,1106,814,0,292,3,26,66,0,31,126.96189309999998,37.5679176,200.0,202.0,336.0,191.0,94.6
39,2020,university,대학교,강남대학교,기존,본교,경기,경기 용인시,사립,주야간,"경기도 용인시 기흥구 강남로 40 (구갈동, 강남대학교)",58,11703,1616,8973,6695,61,2217,170,236,189,0,171,127.1341806,37.27706051,1491.0,1500.0,11082.0,1500.0,100.0
40,2020,university,대학교,건국대학교,기존,본교,서울,서울 광진구,사립,주간,"서울특별시 광진구 능동로 120 (화양동, 건국대학교)",95,63963,3553,23122,15764,758,6600,1372,637,976,0,528,127.0789125,37.54488231,3000.0,3012.0,59098.0,2990.0,99.3
41,2020,university,대학교,건국대학교(글로컬) _분교,기존,분교1,충북,충북 충주시,사립,주간,"충청북도 충주시 충원대로 268 (단월동, 건국대학교GLOCAL캠퍼스)",94,15687,1654,10538,6995,61,3482,255,255,311,0,177,127.90751170000001,36.94758275,1549.0,1555.0,14869.0,1553.0,99.9
42,2020,university,대학교,건양대학교,기존,본교,충남,충남 논산시,사립,주야간,"충청남도 논산시 대학로 121 (내동, 건양대학교)",50,5854,894,4632,3534,24,1074,71,137,151,0,168,127.1091096,36.18349331,845.0,847.0,5561.0,845.0,99.8
43,2020,university,대학교,건양대학교 _제2캠퍼스,기존,제2캠퍼스,대전,대전 서구,사립,주야간,"대전광역시 서구 관저동로 158 (관저동, 건양대학교병원)",21,9010,842,4194,3505,5,684,10,249,32,0,67,127.3445629,36.30698032,808.0,810.0,7422.0,810.0,100.0
44,2020,university,대학교,경기대학교,기존,본교,경기,경기 수원시,사립,주야간,"경기도 수원시 영통구 광교산로 154-42 (이의동, 경기대학교)",51,26931,2896,16512,11732,137,4643,436,467,427,0,265,127.03259129999999,37.30143823,2598.0,2604.0,25466.0,2602.0,99.9
45,2020,university,대학교,경기대학교 _제2캠퍼스,기존,제2캠퍼스,서울,서울 서대문구,사립,주야간,"서울특별시 서대문구 경기대로9길 24 (충정로2가, 경기대학교)",20,7991,502,2631,1980,29,622,525,36,74,0,0,126.9622293,37.56447707,328.0,328.0,7575.0,326.0,99.4
46,2020,university,대학교,경남대학교,기존,본교,경남,경남 창원시,사립,주간,"경상남도 창원시 마산합포구 경남대학로 7 (월영동, 경남대학교)",74,12684,2889,16506,11147,83,5276,223,438,540,0,222,128.5518415,35.18112432,2840.0,2853.0,11995.0,2733.0,95.8
47,2020,university,대학교,경동대학교,기존,본교,강원,강원 고성군,사립,주간,"강원도 고성군 토성면 봉포4길 46 (봉포리, 경동대학교)",32,807,196,1938,1297,0,641,524,53,37,0,31,128.5539652,38.24962808,110.0,111.0,704.0,110.0,99.1
48,2020,university,대학교,경동대학교 _제3캠퍼스,기존,제3캠퍼스,강원,강원 원주시,사립,주간,"강원도 원주시 문막읍 견훤로 815 (후용리, 경동대학교)",11,7606,1035,4620,4008,0,612,0,110,54,0,36,127.794721,37.26478577,965.0,966.0,7250.0,965.0,99.9
49,2020,university,대학교,경동대학교 _제4캠퍼스,기존,제4캠퍼스,경기,경기 양주시,사립,주간,경기도 양주시 경동대학로 27 (고암동),21,4871,760,3286,2509,0,777,118,92,42,0,53,127.0679489,37.81194024,710.0,710.0,4557.0,710.0,100.0
50,2020,university,대학교,대구한의대학교,기존,본교,경북,경북 경산시,사립,주야간,"경상북도 경산시 한의대로 1 (유곡동, 대구한의대학교)",98,12269,1707,8729,6849,74,1806,86,247,181,0,145,128.7734856,35.79426966,1518.0,1520.0,11477.0,1519.0,99.9
51,2020,university,대학교,경성대학교,기존,본교,부산,부산 남구,사립,주간,"부산광역시 남구 수영로 309 (대연동, 경성대학교)",92,20315,3062,16831,12454,196,4181,1014,435,568,0,275,129.0966805,35.1430492,2740.0,2746.0,19098.0,2744.0,99.9
52,2020,university,대학교,가천대학교,기존,본교,경기,경기 성남시,사립,주간,"경기도 성남시 수정구 성남대로 1342 (복정동, 가천대학교)",85,62956,4186,25467,18678,1,6788,906,879,1024,0,297,127.12910409999999,37.44924484,3766.0,3766.0,59760.0,3764.0,99.9
53,2020,university,대학교,경일대학교,기존,본교,경북,경북 경산시,사립,주야간,"경상북도 경산시 하양읍 가마실길 50 (부호리, 경일대학교)",56,10508,1772,9489,6922,39,2528,94,256,131,0,151,128.8027242,35.90654442,1584.0,1591.0,9439.0,1580.0,99.3
54,2020,university,대학교,경주대학교,기존,본교,경북,경북 경주시,사립,주야간,"경상북도 경주시 태종로 188 (효현동, 경주대학교)",60,1236,185,1577,1013,1,563,267,67,51,0,54,129.16223540000001,35.83099767,762.0,702.0,1132.0,176.0,25.1
55,2020,university,대학교,경희대학교,기존,본교,서울,서울 동대문구,사립,주야간,"서울특별시 동대문구 경희대로 26 (회기동, 경희대학교)",93,83959,5739,34710,25875,0,8835,2939,1086,1604,0,999,127.05611280000001,37.59379956,4720.0,4732.0,78513.0,4710.0,99.5
56,2020,university,대학교,계명대학교,기존,본교,대구,대구 달서구,사립,주야간,"대구광역시 달서구 달구벌대로 1095 (신당동, 계명대학교성서캠퍼스)",115,33136,4948,30292,20692,203,9397,894,889,888,0,505,128.4811929,35.85426184,4605.0,4607.0,31259.0,4606.0,100.0
57,2020,university,대학교,고려대학교,기존,본교,서울,서울 성북구,사립,주간,"서울특별시 성북구 안암로 145 (안암동5가, 고려대학교안암캠퍼스(인문사회계))",72,34575,4405,27783,20822,0,6961,2154,1166,2021,0,1135,127.03268519999999,37.58791907,3799.0,3803.0,30531.0,3797.0,99.8
58,2020,university,대학교,고려대학교(세종) _분교,기존,분교1,세종,세종 ,사립,주간,"세종특별자치시 조치원읍 세종로 2511 (서창리, 고려대학교세종캠퍼스)",64,15889,1439,9319,6387,0,2932,248,213,389,0,212,127.28821210000001,36.61152416,1318.0,1322.0,15386.0,1318.0,99.7
59,2020,university,대학교,고신대학교,기존,본교,부산,부산 영도구,사립,주야간,"부산광역시 영도구 와치로 194 (동삼동, 고신대학교)",33,5502,928,4784,3920,10,854,20,291,118,0,136,129.0625326,35.07845657,886.0,886.0,5289.0,886.0,100.0
60,2020,university,대학교,가톨릭관동대학교,기존,본교,강원,강원 강릉시,사립,주야간,"강원도 강릉시 범일로579번길 24 (내곡동, 가톨릭관동대학교)",160,11031,2236,12473,8107,63,4303,108,424,389,0,231,128.8748638,37.73815321,2080.0,2092.0,10242.0,2075.0,99.2
61,2020,university,대학교,광신대학교,기존,본교,광주,광주 북구,사립,주간,"광주광역시 북구 양산택지소로 36 (본촌동, 광신대학교)",8,208,130,600,514,0,86,35,51,76,0,26,126.88460859999999,35.21573398,122.0,123.0,200.0,123.0,100.0
62,2020,university,대학교,광운대학교,기존,본교,서울,서울 노원구,사립,주야간,"서울특별시 노원구 광운로 20 (월계동, 광운대학교)",66,24012,2024,11672,8182,0,3490,733,315,358,0,221,127.05909299999999,37.62001946,1684.0,1687.0,22500.0,1685.0,99.9
63,2020,university,대학교,광주가톨릭대학교,기존,본교,전남,전남 나주시,사립,주간,"전라남도 나주시 남평읍 중남길 12-25 (남석리, 광주가톨릭대학교)",1,25,24,129,89,0,40,1,19,6,0,30,126.86508429999999,35.01570871,40.0,40.0,25.0,24.0,60.0
64,2020,university,대학교,광주여자대학교,기존,본교,광주,광주 광산구,사립,주간,"광주광역시 광산구 여대길 201 (산정동, 광주여자대학교)",21,5329,990,3977,3735,1,241,112,130,133,0,80,126.79955559999999,35.16322604,895.0,895.0,4989.0,895.0,100.0
65,2020,university,대학교,국민대학교,기존,본교,서울,서울 성북구,사립,주야간,"서울특별시 성북구 정릉로 77 (정릉동, 국민대학교)",127,28637,3393,22077,15109,600,6368,1839,592,720,0,449,126.9976191,37.61079306,2863.0,2874.0,26540.0,2868.0,99.8
66,2020,university,대학교,케이씨대학교,기존,본교,서울,서울 강서구,사립,주야간,"서울특별시 강서구 까치산로24길 47 (화곡동, 그리스도대학교)",34,1759,303,1736,1351,0,385,0,48,94,0,52,126.85415800000001,37.54868686,277.0,281.0,1667.0,281.0,100.0
67,2020,university,대학교,극동대학교,기존,본교,충북,충북 음성군,사립,주간,"충청북도 음성군 감곡면 대학길 76-32 (왕장리, 극동대학교)",38,9295,983,5224,3898,55,1271,7,146,162,0,64,127.64223570000001,37.12700351,935.0,940.0,8829.0,932.0,99.1
68,2020,university,대학교,나사렛대학교,기존,본교,충남,충남 천안시,사립,주간,"충청남도 천안시 서북구 월봉로 48 (쌍용동, 나사렛대학교)",64,7613,1353,6830,5146,6,1678,74,162,177,0,104,127.11910049999999,36.79774648,1211.0,1213.0,6820.0,1212.0,99.9
69,2020,university,대학교,단국대학교,기존,본교,경기,경기 용인시,사립,주야간,"경기도 용인시 수지구 죽전로 152 (죽전동, 단국대학교죽전캠퍼스)",70,33593,2585,16350,11691,512,4147,674,456,988,0,332,127.12556229999998,37.31996346,2275.0,2283.0,31879.0,2275.0,99.6
70,2020,university,대학교,단국대학교 _제2캠퍼스,기존,제2캠퍼스,충남,충남 천안시,사립,주야간,"충청남도 천안시 동남구 단대로 119 (안서동, 단국대학교천안캠퍼스)",102,19512,2519,14633,11173,249,3211,96,513,526,0,197,127.16609650000001,36.83495267,2340.0,2347.0,18782.0,2340.0,99.7
